"PLOT","Accession","LOC","Year","REP","Block","Design","Trial","Settweight","NPH","Vigor","AUDPC_YMV","rAUDPC_YMV","AUDPC_YAD","rAUDPC_YAD","Yield.per.plot..kg.","TTNPL","TTWPL","Yield_udj","YIELD","ATW","DMC","Oxint180Minutes","OXBI"
1123,"TDr1719027","Ikenne",2020,1,1,"Partial replicated","TFE",NA,5,2,180,0.015,150,0.0125,1.05,1,0.21,2.1,2.1,0.21,NA,NA,NA
1195,"TDr1716015","Ibadan",2020,1,1,"Partial replicated","TFE",NA,NA,2,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"TDr8902665","Ibadan",2020,1,17,"Augmented","APT",0.74,4,3,313.75,0.026145833,197.5,0.016458333,5.89,1,1.5,11.78,11.78,1.47,30.67,0,-0.23
609,"TDr1756018","Abuja",2020,1,4,"Augmented","SCG",0.45,3,2,190,0.021111111,105,0.011666667,3.8,2.333333333,1.266666667,12.67,12.67,0.54,NA,NA,NA
720,"TDrMeccakusa","Abuja",2020,1,6,"Augmented","SCG",0.266,1,3,270,0.03,150,0.016666667,1.2,1,1.2,12,12,1.2,NA,NA,NA
735,"TDr1756004","Abuja",2020,1,6,"Augmented","SCG",0.346,3,3,205,0.022777778,135,0.015,3.5,1.333333333,1.166666667,11.67,11.67,0.88,NA,NA,NA
505,"TDr1773029","Abuja",2020,1,2,"Augmented","SCG",0.238,3,3,190,0.021111111,140,0.015555556,3.1,3,1.033333333,35.33,10.33,0.34,NA,NA,NA
2020,"TDr1738038","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"TDr1618507","Ibadan",2020,3,15,"Lattice","PPT3",0.72,4,3,239,0.019916667,147,0.01225,8.48,1,2.1,16.96,21.2,2.12,28.67,3,0.45
478,"TDr1768006","Abuja",2020,1,2,"Augmented","SCG",0.45,2,3,247.5,0.0275,135,0.015,1.6,2.5,0.8,25.67,8,0.32,NA,NA,NA
582,"TDr1766014","Abuja",2020,1,3,"Augmented","SCG",0.416,3,2,185,0.020555556,135,0.015,2,1.666666667,0.666666667,6.67,6.67,0.4,NA,NA,NA
420,"TDr1774009","Abuja",2020,1,1,"Augmented","SCG",0.344,1,3,180,0.02,105,0.011666667,0.2,2,0.2,24,2,0.1,NA,NA,NA
2156,"TDr1716061","Ibadan",2020,2,2,"Partial replicated","TFE",NA,1,2,180,0.015,NA,NA,0.28,1,0.28,2.8,2.8,0.28,NA,NA,NA
484,"TDr1756038","Abuja",2020,1,2,"Augmented","SCG",0.246,3,3,200,0.022222222,115,0.012777778,1.8,1,0.6,29,6,0.6,NA,NA,NA
24,"TDrMeccakusa","Abuja",2020,1,5,"Augmented","APT",0.75,2,2,201,0.022333333,129,0.014333333,2.1,3,1.05,4.2,4.2,0.35,NA,NA,NA
301,"TDr1619001","Ibadan",2020,3,15,"Lattice","PPT1",0.66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"TDr1531005","Abuja",2020,1,17,"Augmented","APT",0.75,2,2,202.5,0.0225,135,0.015,1,1,0.5,2,2,0.5,NA,NA,NA
130,"TDr1614703","Ibadan",2020,1,5,"Lattice","PPT2",0.42,5,2,321,0.02675,132,0.011,16.63,1,3.3,33.26,33.26,3.33,30.67,0,-0.19
347,"TDr8902665","Ibadan",2020,3,21,"Lattice","PPT3",0.74,5,3,345,0.02875,193,0.016083333,3.55,2,0.7,7.1,7.1,0.36,30.67,0,-0.18
31,"TDr9519177","Ibadan",2020,1,7,"Augmented","APT",0.75,3,2,195,0.01625,145,0.012083333,7.2,1,2.4,14.4,14.4,2.4,33.33,1,-0.3
1211,"TDr1741007","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,210,0.0175,105,0.00875,1.85,1,0.93,9.25,9.25,0.93,NA,NA,NA
237,"TDr1617604","Ibadan",2020,2,13,"Lattice","PPT3",0.76,5,NA,285,0.02375,193,0.016083333,13.63,1.2,2.7,27.26,27.26,2.27,18,2,-0.08
1152,"TDr1716040","Ikenne",2020,1,1,"Partial replicated","TFE",NA,1,2,195,0.01625,150,0.0125,0.72,1,0.72,1.8,7.2,0.72,NA,NA,NA
21,"TDr9519177","Ubiaja",2020,1,5,"Augmented","APT",0.62,3,2,140,0.011666667,105,0.00875,1.51,1.666666667,0.503333333,3.02,3.02,0.3,32.67,1,-0.38
2214,"TDr1741022","Ibadan",2020,2,2,"Partial replicated","TFE",NA,8,3,180,0.015,120,0.01,2.6,1.38,0.33,2.6,3.25,0.24,29.11,2,0.02
634,"TDr1760012","Abuja",2020,1,4,"Augmented","SCG",0.45,3,3,215,0.023888889,135,0.015,4.9,1.333333333,1.633333333,16.33,16.33,1.23,NA,NA,NA
40,"TDrMeccakusa","Ibadan",2020,1,8,"Augmented","APT",0.69,5,2,237,0.01975,228,0.019,16.5,1.6,3.3,33,33,2.06,30.67,0,-0.16
13002,"TDr9519177","Ibadan",2020,1,13,"Augmented","SCG",0.51,5,3,345,0.02875,120,0.01,6.97,2,1.39,13.94,13.94,0.7,30,0,-0.06
107,"TDr9519177","Ibadan",2020,1,22,"Augmented","APT",0.75,5,2,273,0.02275,135,0.01125,15.81,2.2,3.2,31.62,31.62,1.44,30.67,3,-0.65
514,"TDr1759004","Abuja",2020,1,2,"Augmented","SCG",0.336,3,3,225,0.025,135,0.015,3.1,3,1.033333333,21,10.33,0.34,NA,NA,NA
2110,"TDr1719025","Ibadan",2020,2,2,"Partial replicated","TFE",NA,NA,2,210,0.0175,150,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,"TDr1776011","Abuja",2020,1,6,"Augmented","SCG",0.351,3,3,240,0.026666667,135,0.015,2.7,3,0.9,9,9,0.3,NA,NA,NA
1166,"TDr1716093","Ibadan",2020,1,1,"Partial replicated","TFE",NA,5,2,210,0.0175,105,0.00875,1.03,1,0.21,1.47,2.06,0.21,20.21,2,0
1217,"TDr1741050","Ibadan",2020,1,1,"Partial replicated","TFE",NA,2,2,240,0.02,135,0.01125,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,"TDr1669010","Ibadan",2020,1,4,"Lattice","PPT1",0.85,4,2,297.5,0.024791667,198.75,0.0165625,13.79,1.5,3.45,27.58,34.48,2.3,38.67,0,0.36
16,"TDr9519177","Kabba",2020,1,4,"Augmented","APT",0.409,4,2,206.25,0.022916667,146.25,0.01625,1.9,1,0.175,1.4,1.4,0.18,NA,NA,NA
1185,"TDr1716030","Ikenne",2020,1,1,"Partial replicated","TFE",NA,1,1,180,0.015,165,0.01375,0.13,1,0.13,0.65,1.3,0.13,NA,NA,NA
222,"TDr1618507","Ibadan",2020,2,11,"Lattice","PPT3",0.71,5,3,290,0.024166667,150,0.0125,9.35,1.4,1.9,23.38,18.7,1.34,21.33,3,0.34
1141,"TDr1719063","Ibadan",2020,1,1,"Partial replicated","TFE",NA,1,2,210,0.0175,NA,NA,0.08,1,0.08,0.2,0.8,0.08,NA,NA,NA
2087,"TDr1739096","Ikenne",2020,2,2,"Partial replicated","TFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
